text,predictedCategory,wasHelpful
He didnot answer my phone call,Affection,False
My partner do not spent money on my things.,Finances,True
Sex,Affection,True
Money,Finances,True
He never listen to me,General,True
He always takes my replies as a joke ,General,True
He haven't time to talk with me,Affection,
He haven't time to talk and we but we are long distance relationship ,Affection,
He haven't time to talk and we are long distance relationship ,Affection,
He cant remember special day,General,True
He is looking for me less.,General,True
I need to spend too much for bills,Finances,True
I don't have a GF,General,
I'm having a deep feeling about someone and it's so pure and genuine. I told about that but didn't get rejected or accepted. Maybe time will bond us later on?,Affection,
He always gets emotional when I say something ,General,False
He doesn't understand what I say but still know everything. ,General,True
He never washes the dishes,Chores,True
He never truly listene to me ,General,
He never truly listen to me ,General,True
What is couplecoreAI?,General,
He never listens,General,False
She never listens to me,General,
He comments on other girls' posts,General,
He never cares me ,General,True
He is not ready to take a responsibility yet even he is not stable yet but he ties however due to that he is not even get close to me. ,General,
"When we’re on FaceTime, he’s distracted and doesn’t listen to me",Affection,True
He doesn't care about our future.,General,True
What if my partner says always say she is right and I am wrong,General,False
